,date,close,volume,volume_avg,trade_flag,shadow_sum,fee,num,dPrice,sum,dTime,dCode,cash,val,secVal,margin_ratio,open_num,trade_way,pos_num
TF.CFE,2014-11-03 09:30:00,95.868,846.0,284.8,1,-1,40,-50000.0,95.868,-4793400.0,2014-11-03 09:30:00,TF.CFE,1000000,1000000,0,0.0,0,多开,1
TF.CFE,2014-11-04 10:00:00,95.996,192.0,219.2,0,0,0.0,50000.0,95.996,4799800.0,2014-11-04 10:00:00,TF.CFE,5793360.0,995260.0,-4798100.0,0.0,0,多平,1
TF.CFE,2014-11-10 09:30:00,97.366,1262.0,562.6,1,1,40,50000.0,97.366,4868300.0,2014-11-10 09:30:00,TF.CFE,993560.0,993560.0,0,0.0,1,多开,1
TF.CFE,2014-11-11 10:00:00,97.942,904.0,636.0,0,0,0.0,-50000.0,97.942,-4897100.0,2014-11-11 10:00:00,TF.CFE,-3874780.0,1017620.0,4892400.0,0.0,1,多平,1
TF.CFE,2014-11-11 14:15:00,97.672,2106.0,835.2,1,1,40,50000.0,97.672,4883600.0,2014-11-11 14:15:00,TF.CFE,1022320.0,1022320.0,0,0.0,2,多开,1
TF.CFE,2014-11-12 10:00:00,97.662,533.0,831.2,0,0,0.0,-50000.0,97.662,-4883100.0,2014-11-12 10:00:00,TF.CFE,-3861320.0,1023380.0,4884700.0,0.0,2,多平,1
TF.CFE,2014-11-24 09:30:00,97.62,4303.0,1349.0,1,1,40,50000.0,97.62,4881000.0,2014-11-24 09:30:00,TF.CFE,1021780.0,1021780.0,0,0.0,3,多开,1
TF.CFE,2014-11-25 10:00:00,97.424,1937.0,837.4,1,0,0.0,-50000.0,97.424,-4871200.0,2014-11-25 10:00:00,TF.CFE,-3859260.0,1021540.0,4880800.0,0.0,3,多平,1
TF.CFE,2014-11-25 14:45:00,97.386,1209.0,543.8,1,1,40,50000.0,97.386,4869300.0,2014-11-25 14:45:00,TF.CFE,1011940.0,1011940.0,0,0.0,4,多开,1
TF.CFE,2014-11-26 10:00:00,97.32,475.0,577.6,0,0,0.0,-50000.0,97.32,-4866000.0,2014-11-26 10:00:00,TF.CFE,-3857400.0,1012100.0,4869500.0,0.0,4,多平,1
TF.CFE,2014-11-28 09:30:00,97.46,1631.0,702.6,1,1,40,50000.0,97.46,4873000.0,2014-11-28 09:30:00,TF.CFE,1008600.0,1008600.0,0,0.0,5,多开,1
TF.CFE,2014-12-01 10:00:00,97.728,1663.0,1077.2,0,0,0.0,-50000.0,97.728,-4886400.0,2014-12-01 10:00:00,TF.CFE,-3864440.0,1022660.0,4887100.0,0.0,5,多平,1
TF.CFE,2014-12-01 14:45:00,97.752,2024.0,694.0,1,-1,40,-50000.0,97.752,-4887600.0,2014-12-01 14:45:00,TF.CFE,1021960.0,1021960.0,0,0.0,6,多开,1
TF.CFE,2014-12-02 10:00:00,97.474,578.0,948.6,0,0,0.0,50000.0,97.474,4873700.0,2014-12-02 10:00:00,TF.CFE,5909520.0,1034520.0,-4875000.0,0.0,6,多平,1
TF.CFE,2014-12-03 11:30:00,96.788,1254.0,574.6,1,1,40,50000.0,96.788,4839400.0,2014-12-03 11:30:00,TF.CFE,1035820.0,1035820.0,0,0.0,7,多开,1
TF.CFE,2014-12-04 10:00:00,96.592,787.0,927.0,0,0,0.0,-50000.0,96.592,-4829600.0,2014-12-04 10:00:00,TF.CFE,-3803620.0,1033580.0,4837200.0,0.0,7,多平,1
TF.CFE,2014-12-05 09:30:00,95.478,3254.0,1532.4,1,1,40,50000.0,95.478,4773900.0,2014-12-05 09:30:00,TF.CFE,1025980.0,1025980.0,0,0.0,8,多开,1
TF.CFE,2014-12-08 10:00:00,95.944,659.0,1055.6,0,1,0.0,-50000.0,95.944,-4797200.0,2014-12-08 10:00:00,TF.CFE,-3747960.0,1049940.0,4797900.0,0.0,8,多平,1
TF.CFE,2014-12-09 09:30:00,94.86,4039.0,1605.0,1,1,40,50000.0,94.86,4743000.0,2014-12-09 09:30:00,TF.CFE,1049240.0,1049240.0,0,0.0,9,多开,1
TF.CFE,2014-12-10 10:00:00,95.55,555.0,1165.4,0,0,0.0,-50000.0,95.55,-4777500.0,2014-12-10 10:00:00,TF.CFE,-3693800.0,1078000.0,4771800.0,0.0,9,多平,1
TF.CFE,2014-12-18 14:45:00,96.356,1511.0,585.6,1,-1,40,-50000.0,96.356,-4817800.0,2014-12-18 14:45:00,TF.CFE,1083700.0,1083700.0,0,0.0,10,多开,1
TF.CFE,2014-12-19 10:00:00,96.374,935.0,633.6,0,-1,0.0,50000.0,96.374,4818700.0,2014-12-19 10:00:00,TF.CFE,5901460.0,1081960.0,-4819500.0,0.0,10,多平,1
TF.CFE,2015-01-09 09:30:00,96.622,1109.0,529.2,1,1,40,50000.0,96.622,4831100.0,2015-01-09 09:30:00,TF.CFE,1082760.0,1082760.0,0,0.0,11,多开,1
TF.CFE,2015-01-12 10:00:00,96.544,398.0,358.2,0,0,0.0,-50000.0,96.544,-4827200.0,2015-01-12 10:00:00,TF.CFE,-3748380.0,1082520.0,4830900.0,0.0,11,多平,1
TF.CFE,2015-01-13 09:30:00,96.864,916.0,386.8,1,-1,40,-50000.0,96.864,-4843200.0,2015-01-13 09:30:00,TF.CFE,1078820.0,1078820.0,0,0.0,12,多开,1
TF.CFE,2015-01-14 10:00:00,97.232,889.0,763.0,0,0,0.0,50000.0,97.232,4861600.0,2015-01-14 10:00:00,TF.CFE,5921980.0,1059080.0,-4862900.0,0.0,12,多平,1
TF.CFE,2015-01-15 09:30:00,97.22,1094.0,487.2,1,-1,40,-50000.0,97.22,-4861000.0,2015-01-15 09:30:00,TF.CFE,1060380.0,1060380.0,0,0.0,13,多开,1
TF.CFE,2015-01-16 10:00:00,97.248,382.0,445.4,0,0,0.0,50000.0,97.248,4862400.0,2015-01-16 10:00:00,TF.CFE,5921340.0,1059640.0,-4861700.0,0.0,13,多平,1
TF.CFE,2015-01-20 09:30:00,97.462,1179.0,-794.2,1,1,40,50000.0,97.462,4873100.0,2015-01-20 09:30:00,TF.CFE,1058940.0,1058940.0,0,0.0,14,多开,1
TF.CFE,2015-01-21 10:00:00,97.47,283.0,392.8,0,0,0.0,-50000.0,97.47,-4873500.0,2015-01-21 10:00:00,TF.CFE,-3814200.0,1060300.0,4874500.0,0.0,14,多平,1
TF.CFE,2015-01-26 09:30:00,97.7,624.0,272.8,1,1,40,50000.0,97.7,4885000.0,2015-01-26 09:30:00,TF.CFE,1059300.0,1059300.0,0,0.0,15,多开,1
TF.CFE,2015-01-27 10:00:00,97.844,768.0,551.0,0,0,0.0,-50000.0,97.844,-4892200.0,2015-01-27 10:00:00,TF.CFE,-3825740.0,1069760.0,4895500.0,0.0,15,多平,1
TF.CFE,2015-03-02 09:30:00,98.99,2363.0,723.8,1,1,40,50000.0,98.99,4949500.0,2015-03-02 09:30:00,TF.CFE,1066460.0,1066460.0,0,0.0,16,多开,1
TF.CFE,2015-03-03 10:00:00,98.652,692.0,732.4,0,0,0.0,-50000.0,98.652,-4932600.0,2015-03-03 10:00:00,TF.CFE,-3883080.0,1049520.0,4932600.0,0.0,16,多平,1
TF.CFE,2015-03-06 11:15:00,98.538,4940.0,1743.0,1,-1,40,-50000.0,98.538,-4926900.0,2015-03-06 11:15:00,TF.CFE,1049520.0,1049520.0,0,0.0,17,多开,1
TF.CFE,2015-03-09 10:00:00,98.382,624.0,801.8,0,0,0.0,50000.0,98.382,4919100.0,2015-03-09 10:00:00,TF.CFE,5976380.0,1051880.0,-4924500.0,0.0,17,多平,1
TF.CFE,2015-03-09 10:30:00,98.198,2913.0,1265.4,1,1,40,50000.0,98.198,4909900.0,2015-03-09 10:30:00,TF.CFE,1057280.0,1057280.0,0,0.0,18,多开,1
TF.CFE,2015-03-10 10:00:00,98.318,1961.0,2011.2,0,0,0.0,-50000.0,98.318,-4915900.0,2015-03-10 10:00:00,TF.CFE,-3852660.0,1058340.0,4911000.0,0.0,18,多平,1
